Gene,Num_Protected_Comorbidities,Protected_Comorbidities,Median_RR,Max_CI_Upper
ENSG00000147677.10,2,"Conductive Hearing Loss Disorder, Obstructive Sleep Apnea Syndrome",0.6079758134177944,0.958821971895608
ENSG00000162734.12,2,"Eustachian Tube Disorder, Patent Foramen Ovale",0.4607744107744108,0.9436206097165467
ENSG00000160683.4,2,"Celiac Disease, Sleep Apnea Syndrome",0.5066973268180511,0.9744682439593555
ENSG00000260063.1,2,"Atrioventricular Septal Defect, Folliculitis",0.4893141945773525,0.9175240369039152
ENSG00000196715.5,2,"Patent Foramen Ovale, Reactive Airway Disease",0.3714003123373243,0.9234139834059519
ENSG00000105928.13,2,"Folliculitis, Psoriasis",0.25316221528500404,0.8597383006879822
ENSG00000119147.9,2,"Conductive Hearing Loss Disorder, Otitis Media, Susceptibility To",0.4324209840338873,0.884523138773545
ENSG00000121481.10,2,"Psoriasis, Scoliosis",0.33165924984106804,0.9859863286392155
ENSG00000105835.11,2,"Hidradenitis Suppurativa, Sleep Apnea Syndrome",0.4435428097192125,0.9785928226820332
ENSG00000126950.7,2,"Otitis Media, Susceptibility To, Strabismus",0.4857758620689655,0.995910480566264
ENSG00000149922.10,2,"Hearing Loss Disorder, Patent Foramen Ovale",0.5555079603055615,0.9575211249229005
ENSG00000107263.18,2,"Hashimoto Thyroiditis, Atrioventricular Septal Defect",0.3722567287784679,0.9873492862521491
ENSG00000259094.1,2,"Astigmatism, Pneumonia",0.388991822131357,0.8614206376129109
ENSG00000149782.11,2,"Atrioventricular Septal Defect, Celiac Disease",0.37926421404682276,0.9989680469126953
ENSG00000143486.15,2,"Conductive Hearing Loss Disorder, Otitis Media, Susceptibility To",0.5265512265512267,0.9180263604388044
ENSG00000147454.13,2,"Hypothyroidism, Sleep Apnea Syndrome",0.571465188555317,0.9676252202012412
ENSG00000259254.1,2,"Otitis Media, Susceptibility To, Reactive Airway Disease",0.4330182072829132,0.9839527122309675
ENSG00000126953.5,2,"Hidradenitis Suppurativa, Seborrheic Dermatitis",0.3637969094922737,0.9723271231683605
ENSG00000197961.11,2,"Hearing Loss Disorder, Hypothyroidism",0.5744363395225465,0.9748297392353363
ENSG00000130024.14,2,"Atrioventricular Septal Defect, Celiac Disease",0.38181818181818183,0.8449761357296945
ENSG00000196678.13,2,"Obstructive Sleep Apnea Syndrome, Pulmonary Hypertension",0.47379032258064513,0.9780487882596585
ENSG00000162783.10,2,"Atrial Septal Defect, Atrioventricular Septal Defect",0.5345593869731801,0.8832758626895103
ENSG00000160075.11,2,"Atrioventricular Septal Defect, Psoriasis",0.4354411764705882,0.9889336331894726
ENSG00000102226.9,2,"Patent Ductus Arteriosus, Patent Foramen Ovale",0.5459183673469388,0.9919277935583515
